time,local_time,electricity
2019-01-01 00:00,2019-01-01 02:00,0
2019-01-01 01:00,2019-01-01 03:00,0
2019-01-01 02:00,2019-01-01 04:00,0
2019-01-01 03:00,2019-01-01 05:00,0
2019-01-01 04:00,2019-01-01 06:00,0
2019-01-01 05:00,2019-01-01 07:00,0
2019-01-01 06:00,2019-01-01 08:00,5.926
2019-01-01 07:00,2019-01-01 09:00,20.102
2019-01-01 08:00,2019-01-01 10:00,38.439
2019-01-01 09:00,2019-01-01 11:00,55.222
2019-01-01 10:00,2019-01-01 12:00,72.075
2019-01-01 11:00,2019-01-01 13:00,58.773
2019-01-01 12:00,2019-01-01 14:00,47.221
2019-01-01 13:00,2019-01-01 15:00,32.442
2019-01-01 14:00,2019-01-01 16:00,12.299
2019-01-01 15:00,2019-01-01 17:00,0
2019-01-01 16:00,2019-01-01 18:00,0
2019-01-01 17:00,2019-01-01 19:00,0
2019-01-01 18:00,2019-01-01 20:00,0
2019-01-01 19:00,2019-01-01 21:00,0
2019-01-01 20:00,2019-01-01 22:00,0
2019-01-01 21:00,2019-01-01 23:00,0
2019-01-01 22:00,2019-01-02 00:00,0
2019-01-01 23:00,2019-01-02 01:00,0
2019-01-02 00:00,2019-01-02 02:00,0
2019-01-02 01:00,2019-01-02 03:00,0
2019-01-02 02:00,2019-01-02 04:00,0
2019-01-02 03:00,2019-01-02 05:00,0
2019-01-02 04:00,2019-01-02 06:00,0
2019-01-02 05:00,2019-01-02 07:00,0
2019-01-02 06:00,2019-01-02 08:00,59.019
2019-01-02 07:00,2019-01-02 09:00,181.268
2019-01-02 08:00,2019-01-02 10:00,214.814
2019-01-02 09:00,2019-01-02 11:00,245.158
2019-01-02 10:00,2019-01-02 12:00,271.581
2019-01-02 11:00,2019-01-02 13:00,284.479
2019-01-02 12:00,2019-01-02 14:00,271.334
2019-01-02 13:00,2019-01-02 15:00,231.177
2019-01-02 14:00,2019-01-02 16:00,108.354
2019-01-02 15:00,2019-01-02 17:00,0
2019-01-02 16:00,2019-01-02 18:00,0
2019-01-02 17:00,2019-01-02 19:00,0
2019-01-02 18:00,2019-01-02 20:00,0
2019-01-02 19:00,2019-01-02 21:00,0
2019-01-02 20:00,2019-01-02 22:00,0
2019-01-02 21:00,2019-01-02 23:00,0
2019-01-02 22:00,2019-01-03 00:00,0
2019-01-02 23:00,2019-01-03 01:00,0
2019-01-03 00:00,2019-01-03 02:00,0
2019-01-03 01:00,2019-01-03 03:00,0
2019-01-03 02:00,2019-01-03 04:00,0
2019-01-03 03:00,2019-01-03 05:00,0
2019-01-03 04:00,2019-01-03 06:00,0
2019-01-03 05:00,2019-01-03 07:00,0
2019-01-03 06:00,2019-01-03 08:00,7.444
2019-01-03 07:00,2019-01-03 09:00,20.724
2019-01-03 08:00,2019-01-03 10:00,36.854
2019-01-03 09:00,2019-01-03 11:00,45.412
2019-01-03 10:00,2019-01-03 12:00,60.072
2019-01-03 11:00,2019-01-03 13:00,34.235
2019-01-03 12:00,2019-01-03 14:00,23.785
2019-01-03 13:00,2019-01-03 15:00,17.954
2019-01-03 14:00,2019-01-03 16:00,11.888
2019-01-03 15:00,2019-01-03 17:00,0
2019-01-03 16:00,2019-01-03 18:00,0
2019-01-03 17:00,2019-01-03 19:00,0
2019-01-03 18:00,2019-01-03 20:00,0
2019-01-03 19:00,2019-01-03 21:00,0
2019-01-03 20:00,2019-01-03 22:00,0
2019-01-03 21:00,2019-01-03 23:00,0
2019-01-03 22:00,2019-01-04 00:00,0
2019-01-03 23:00,2019-01-04 01:00,0
2019-01-04 00:00,2019-01-04 02:00,0
2019-01-04 01:00,2019-01-04 03:00,0
2019-01-04 02:00,2019-01-04 04:00,0
2019-01-04 03:00,2019-01-04 05:00,0
2019-01-04 04:00,2019-01-04 06:00,0
2019-01-04 05:00,2019-01-04 07:00,0
2019-01-04 06:00,2019-01-04 08:00,32.973
2019-01-04 07:00,2019-01-04 09:00,84.032
2019-01-04 08:00,2019-01-04 10:00,102.118
2019-01-04 09:00,2019-01-04 11:00,134.660
2019-01-04 10:00,2019-01-04 12:00,136.087
2019-01-04 11:00,2019-01-04 13:00,94.701
2019-01-04 12:00,2019-01-04 14:00,68.036
2019-01-04 13:00,2019-01-04 15:00,41.627
2019-01-04 14:00,2019-01-04 16:00,13.142
2019-01-04 15:00,2019-01-04 17:00,0
2019-01-04 16:00,2019-01-04 18:00,0
2019-01-04 17:00,2019-01-04 19:00,0
2019-01-04 18:00,2019-01-04 20:00,0
2019-01-04 19:00,2019-01-04 21:00,0
2019-01-04 20:00,2019-01-04 22:00,0
2019-01-04 21:00,2019-01-04 23:00,0
2019-01-04 22:00,2019-01-05 00:00,0
2019-01-04 23:00,2019-01-05 01:00,0
2019-01-05 00:00,2019-01-05 02:00,0
2019-01-05 01:00,2019-01-05 03:00,0
2019-01-05 02:00,2019-01-05 04:00,0
2019-01-05 03:00,2019-01-05 05:00,0
2019-01-05 04:00,2019-01-05 06:00,0
2019-01-05 05:00,2019-01-05 07:00,0.079
2019-01-05 06:00,2019-01-05 08:00,81.365
2019-01-05 07:00,2019-01-05 09:00,95.321
2019-01-05 08:00,2019-01-05 10:00,78.448
2019-01-05 09:00,2019-01-05 11:00,91.184
2019-01-05 10:00,2019-01-05 12:00,113.300
2019-01-05 11:00,2019-01-05 13:00,96.720
2019-01-05 12:00,2019-01-05 14:00,76.874
2019-01-05 13:00,2019-01-05 15:00,44.624
2019-01-05 14:00,2019-01-05 16:00,13.529
2019-01-05 15:00,2019-01-05 17:00,0
2019-01-05 16:00,2019-01-05 18:00,0
2019-01-05 17:00,2019-01-05 19:00,0
2019-01-05 18:00,2019-01-05 20:00,0
2019-01-05 19:00,2019-01-05 21:00,0
2019-01-05 20:00,2019-01-05 22:00,0
2019-01-05 21:00,2019-01-05 23:00,0
2019-01-05 22:00,2019-01-06 00:00,0
2019-01-05 23:00,2019-01-06 01:00,0
2019-01-06 00:00,2019-01-06 02:00,0
2019-01-06 01:00,2019-01-06 03:00,0
2019-01-06 02:00,2019-01-06 04:00,0
2019-01-06 03:00,2019-01-06 05:00,0
2019-01-06 04:00,2019-01-06 06:00,0
2019-01-06 05:00,2019-01-06 07:00,3.524
2019-01-06 06:00,2019-01-06 08:00,225.352
2019-01-06 07:00,2019-01-06 09:00,311.275
2019-01-06 08:00,2019-01-06 10:00,341.267
2019-01-06 09:00,2019-01-06 11:00,349.222
2019-01-06 10:00,2019-01-06 12:00,335.968
2019-01-06 11:00,2019-01-06 13:00,321.561
2019-01-06 12:00,2019-01-06 14:00,285.447
2019-01-06 13:00,2019-01-06 15:00,222.123
2019-01-06 14:00,2019-01-06 16:00,103.583
2019-01-06 15:00,2019-01-06 17:00,0
2019-01-06 16:00,2019-01-06 18:00,0
2019-01-06 17:00,2019-01-06 19:00,0
2019-01-06 18:00,2019-01-06 20:00,0
2019-01-06 19:00,2019-01-06 21:00,0
2019-01-06 20:00,2019-01-06 22:00,0
2019-01-06 21:00,2019-01-06 23:00,0
2019-01-06 22:00,2019-01-07 00:00,0
2019-01-06 23:00,2019-01-07 01:00,0
2019-01-07 00:00,2019-01-07 02:00,0
2019-01-07 01:00,2019-01-07 03:00,0
2019-01-07 02:00,2019-01-07 04:00,0
2019-01-07 03:00,2019-01-07 05:00,0
2019-01-07 04:00,2019-01-07 06:00,0
2019-01-07 05:00,2019-01-07 07:00,0.994
2019-01-07 06:00,2019-01-07 08:00,112.877
2019-01-07 07:00,2019-01-07 09:00,164.893
2019-01-07 08:00,2019-01-07 10:00,137.001
2019-01-07 09:00,2019-01-07 11:00,123.802
2019-01-07 10:00,2019-01-07 12:00,126.328
2019-01-07 11:00,2019-01-07 13:00,86.843
2019-01-07 12:00,2019-01-07 14:00,52.519
2019-01-07 13:00,2019-01-07 15:00,31.663
2019-01-07 14:00,2019-01-07 16:00,9.150
2019-01-07 15:00,2019-01-07 17:00,0
2019-01-07 16:00,2019-01-07 18:00,0
2019-01-07 17:00,2019-01-07 19:00,0
2019-01-07 18:00,2019-01-07 20:00,0
2019-01-07 19:00,2019-01-07 21:00,0
2019-01-07 20:00,2019-01-07 22:00,0
2019-01-07 21:00,2019-01-07 23:00,0
2019-01-07 22:00,2019-01-08 00:00,0
2019-01-07 23:00,2019-01-08 01:00,0
2019-01-08 00:00,2019-01-08 02:00,0
2019-01-08 01:00,2019-01-08 03:00,0
2019-01-08 02:00,2019-01-08 04:00,0
2019-01-08 03:00,2019-01-08 05:00,0
2019-01-08 04:00,2019-01-08 06:00,0
2019-01-08 05:00,2019-01-08 07:00,0
2019-01-08 06:00,2019-01-08 08:00,30.530
2019-01-08 07:00,2019-01-08 09:00,89.813
