time,local_time,t2m,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2019-01-01 02:00,6.709,1.232,0,0,0.937
2019-01-01 01:00,2019-01-01 03:00,6.552,1.232,0,0,0.896
2019-01-01 02:00,2019-01-01 04:00,6.473,1.232,0,0,0.886
2019-01-01 03:00,2019-01-01 05:00,6.465,1.233,0,0,0.862
2019-01-01 04:00,2019-01-01 06:00,6.385,1.234,0,0,0.826
2019-01-01 05:00,2019-01-01 07:00,6.285,1.235,0.679,8.925,0.830
2019-01-01 06:00,2019-01-01 08:00,6.325,1.236,28.301,182.767,0.855
2019-01-01 07:00,2019-01-01 09:00,6.528,1.236,75.233,389.955,0.856
2019-01-01 08:00,2019-01-01 10:00,6.761,1.236,128.850,547.259,0.840
2019-01-01 09:00,2019-01-01 11:00,6.953,1.235,167.967,644.177,0.863
2019-01-01 10:00,2019-01-01 12:00,7.016,1.235,177.760,673.832,0.889
2019-01-01 11:00,2019-01-01 13:00,7.023,1.235,176.275,634.316,0.880
2019-01-01 12:00,2019-01-01 14:00,6.949,1.235,148.480,528.472,0.813
2019-01-01 13:00,2019-01-01 15:00,6.715,1.236,101.456,363.307,0.658
2019-01-01 14:00,2019-01-01 16:00,6.331,1.238,39.080,150.127,0.598
2019-01-01 15:00,2019-01-01 17:00,6.025,1.239,0.272,2.025,0.509
2019-01-01 16:00,2019-01-01 18:00,5.979,1.239,0,0,0.456
2019-01-01 17:00,2019-01-01 19:00,6.122,1.238,0,0,0.466
2019-01-01 18:00,2019-01-01 20:00,6.283,1.237,0,0,0.435
2019-01-01 19:00,2019-01-01 21:00,6.395,1.236,0,0,0.446
2019-01-01 20:00,2019-01-01 22:00,6.479,1.235,0,0,0.432
2019-01-01 21:00,2019-01-01 23:00,6.525,1.234,0,0,0.407
2019-01-01 22:00,2019-01-02 00:00,6.426,1.234,0,0,0.326
2019-01-01 23:00,2019-01-02 01:00,6.237,1.234,0,0,0.287
2019-01-02 00:00,2019-01-02 02:00,6.131,1.234,0,0,0.284
2019-01-02 01:00,2019-01-02 03:00,6.006,1.233,0,0,0.294
2019-01-02 02:00,2019-01-02 04:00,5.835,1.233,0,0,0.314
2019-01-02 03:00,2019-01-02 05:00,5.733,1.232,0,0,0.330
2019-01-02 04:00,2019-01-02 06:00,5.735,1.231,0,0,0.433
2019-01-02 05:00,2019-01-02 07:00,5.899,1.231,1.844,9.283,0.403
2019-01-02 06:00,2019-01-02 08:00,6.661,1.231,70.687,184.205,0.298
2019-01-02 07:00,2019-01-02 09:00,7.754,1.230,215.707,391.490,0.277
2019-01-02 08:00,2019-01-02 10:00,8.480,1.228,316.174,548.967,0.274
2019-01-02 09:00,2019-01-02 11:00,8.976,1.226,393.989,645.927,0.236
2019-01-02 10:00,2019-01-02 12:00,9.377,1.223,439.391,675.608,0.220
2019-01-02 11:00,2019-01-02 13:00,9.624,1.221,430.131,636.066,0.089
2019-01-02 12:00,2019-01-02 14:00,9.623,1.220,354.186,530.040,0.031
2019-01-02 13:00,2019-01-02 15:00,9.329,1.220,231.556,364.841,0.018
